Max Cache Size (MB),LRU Throughput,Clock Throughput,LRU Throughput,Clock Throughput
1,41750.000000,55666.666667,11.064732,11.771340
2,41750.000000,41750.000000,11.794618,10.028825
3,18555.555556,16700.000000,9.953511,9.413224
4,41750.000000,41750.000000,23.915223,20.062470
5,33400.000000,41750.000000,10.399801,11.083090
6,10437.500000,27833.333333,17.470447,15.465827
7,23857.142857,23857.142857,19.001024,14.848404
8,16700.000000,18555.555556,16.143064,19.502511
9,41750.000000,41750.000000,9.756953,9.547767
10,33400.000000,41750.000000,19.452533,15.569644
11,16700.000000,18555.555556,18.940683,15.329539
12,18555.555556,18555.555556,11.144478,9.390991
13,16700.000000,9277.777778,8.687058,11.243520
14,23857.142857,27833.333333,47.295384,134.244373
15,41750.000000,41750.000000,11.611737,13.285601
16,18555.555556,20875.000000,9.986844,11.801286
