Max Cache Size (MB),LRU Throughput,Clock Throughput,LRU Throughput,Clock Throughput
1,41750.000000,55666.666667,28.105015,36.849073
2,41750.000000,41750.000000,12.241607,10.241629
3,23857.142857,20875.000000,10.808362,9.813716
4,41750.000000,41750.000000,11.483188,6.497043
5,18555.555556,18555.555556,9.489176,10.257985
6,41750.000000,41750.000000,5.647234,8.612243
7,23857.142857,27833.333333,8.740252,9.750117
8,41750.000000,6423.076923,8.417763,11.033298
9,41750.000000,41750.000000,17.384968,19.072636
10,41750.000000,41750.000000,16.378972,17.054739
11,33400.000000,41750.000000,6.630141,8.106009
12,41750.000000,41750.000000,12.589521,7.425522
13,23857.142857,27833.333333,10.328406,10.666837
14,41750.000000,41750.000000,9.717212,10.953693
15,41750.000000,41750.000000,19.871490,16.393443
16,15181.818182,18555.555556,10.851907,11.190779
