Max Cache Size (MB),LRU Throughput,Clock Throughput,LRU Throughput,Clock Throughput
1,41750.000000,55666.666667,11.264755,10.667518
2,27833.333333,27833.333333,19.335417,12.738368
3,41750.000000,55666.666667,22.464353,15.183198
4,18555.555556,20875.000000,10.898649,11.438356
5,41750.000000,55666.666667,17.718833,19.131630
6,33400.000000,55666.666667,10.253576,9.608193
7,41750.000000,55666.666667,21.756123,15.269269
8,41750.000000,41750.000000,18.726172,16.506870
9,27833.333333,41750.000000,10.749228,10.453834
10,33400.000000,41750.000000,10.214692,9.297406
11,23857.142857,2929.824561,9.545584,9.858323
12,41750.000000,55666.666667,11.788790,8.940521
13,41750.000000,55666.666667,10.899360,8.170254
14,18555.555556,20875.000000,10.013191,10.088806
15,33400.000000,41750.000000,9.115223,9.400507
16,33400.000000,55666.666667,20.699058,16.853366
